ID_Ort;Name;Adresse;Nordwert;Ostwert;Zoom;UpdateFlag
107;Conny-Land;Connylandstrasse 1, 8564 Lipperswil;;;500;0
109;Sitterviadukt BT;Sittertalstrasse, 9014 St. Gallen;;;600;0
110;Bahnhof Gossau;Gossau, Sportstr. 13;2736792.25;1253284.625;500;1
111;Kyburg;Schloss Kyburg, 8314 Kyburg;;;300;0
113;Abtei Payerne;Place du Marché, 1530 Payerne;;;300;0
115;Schloss Greyerz;Rue du Château 8, 1663 Gruyères;;;300;0
117;Grande Dixence (Basis);Val d'Hérens, 1987 Hérémence;;;1000;0
119;Bahnhof Brig;Bahnhofplatz, 3902 Brig;;;600;0
120;Stockalperschloss;Alte Vereina-Strasse, 3900 Brig;;;400;0
121;Bahnhof Locarno;Muralto, Via Scazziga Vittore 8;2704454.5;1113517;500;1
122;Piazza Grande;6600 Locarno;;;400;0
123;Bahnhof Biasca;Via alla Stazione, 6710 Biasca;2718031.75;1135761.5;400;1
124;Schloss Sargans;Schlossstrasse, 7320 Sargans;;;300;0
125;Bahnhof Sargans;Bahnhofstrasse, 7320 Sargans;;;500;0
126;Tamina Therme;Hans-Albrecht-Strasse, 7310 Bad Ragaz;2757140.25;1207415.75;400;1
129;Hallenbad City;Sihlstrasse 71, 8001 Zürich;;;200;0
130;Bahnhof Landquart;Bahnhofplatz, 7302 Landquart;;;600;0
131;Bahnhof Davos Platz;Talstrasse, 7270 Davos;;;500;0
132;Eisstadion Davos (Vaillant Arena);Talstrasse 41, 7270 Davos;;;400;0
133;Bahnhof St. Moritz;Via Veglia, 7500 St. Moritz;;;500;0
134;Schanze Einsiedeln;Schnabelsbergstrasse, 8840 Einsiedeln;;;500;0
135;Bahnhof Samedan;Bahnhofplatz, 7503 Samedan;;;500;0
136;Flugplatz Samedan;Plazza Aviatica 2, 7503 Samedan;;;1500;0
137;Bahnhof Scuol-Tarasp;7550 Scuol;;;400;0
138;Bärenpark Bern;Grosser Muristalden 6, 3006 Bern;2601603.5;1199624.875;400;1
139;Bahnhof Langenthal;Eisenbahnstr. 7, 4900 Langenthal;2626537.75;1229142.125;500;1
140;Zentrum Paul Klee;Monument im Fruchtland 3, 3006 Bern;;;600;0
146;Internationales Uhrenmuseum;Rue des Musées 29, 2300 La Chaux-de-Fonds;;;300;0
149;Bahnhof Payerne;Place de la Gare, 1530 Payerne;;;400;0
153;Bahnhof Lyss;Bahnhofstrasse, 3250 Lyss;2589948;1213762.875;500;1
159;Bahnhof Lenzburg;Lenzburg, Bahnhofstr. 50;2655839.75;1248802.625;500;1
162;Bahnhof Rheinfelden;Bahnhofstrasse, 4310 Rheinfelden;2626599;1267165;400;1
164;Bahnhof Muttenz;Bahnhofstrasse 62, 4132 Muttenz;2615795.5;1264185;600;1
171;Bahnhof Rotkreuz;Bahnhofplatz, 6343 Holzhäusern;;;600;0
174;Bahnhof Thalwil;Gotthardstr. 24, 8800 Thalwil;2685311;1238817.375;500;1
175;Bahnhof Horgen;Bahnhofstrasse, 8810 Horgen;2687539;1235168.75;400;1
176;Bahnhof Wädenswil;Bahnhofstrasse, 8820 Wädenswil;2693700.25;1231533.25;500;1
178;Bahnhof Küsnacht ZH;Bahnhofstrasse, 8700 Küsnacht;;;400;0
179;Bahnhof Zollikon;Bahnhofstrasse, 8702 Zollikon;2685356.25;1243765.25;300;1
182;Bahnhof Hinwil;Hinwil, Bahnhofplatz 1.5;2706085.75;1239753.875;500;1
184;Bahnhof Dübendorf;Bahnhofstrasse, 8600 Dübendorf;;;500;0
185;Bahnhof Bassersdorf;Bahnhofstrasse, 8303 Bassersdorf;;;400;0
186;Bahnhof Kloten;Bahnhofstrasse, 8302 Kloten;;;400;0
187;Bahnhof Bülach;Bahnhofstrasse, 8180 Bülach;;;500;0
192;Bahnhof Baden;Bahnhofstrasse, 5400 Baden;2665507.5;1258468;500;1
